Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;5.36;0;0;728;0;94.64;0;0;0;3.64;0;0;
6b4e9423a5b1;_ALL;_ALL;5.36;0;0;728;0;94.64;0;0;0;3.64;0;0;
6b4e9423a5b1;5278;_ALL;5.36;0;0;728;0;94.64;0;0;0;3.64;0;0;
6b4e9423a5b1;5278;5278;5.36;0;0;728;0;94.64;0;0;0;3.64;0;0;
