function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
205;libc.so.6;putenv;;38.630851745605;1.5800000429153;0;0;0;0;0;38.630851745605;1.5800000429153;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";putenv;;
788;libc.so.6;timer_settime;;13.936447143555;0.57000005245209;0;0;0;0;0;13.936447143555;0.57000005245209;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";timer_settime;;
309;libc.so.6;strtof;;9.0464668273926;0.37000006437302;0;0;0;0;0;9.0464668273926;0.37000006437302;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";strtof;;
379;libc.so.6;__vfscanf;;8.6797170639038;0.35500001907349;0;0;0;0;0;8.6797170639038;0.35500001907349;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";__vfscanf;;
789;libc.so.6;__default_morecore;;6.7237238883972;0.27499997615814;0;0;0;0;0;6.7237238883972;0.27499997615814;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";__default_morecore;;
355;libc.so.6;parse_printf_format;;4.1564836502075;0.16999998688698;0;0;0;0;0;4.1564836502075;0.16999998688698;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";parse_printf_format;;
928;libc.so.6;__xpg_strerror_r;;4.1564831733704;0.16999997198582;0;0;0;0;0;4.1564831733704;0.16999997198582;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";__xpg_strerror_r;;
330;libc.so.6;__xpg_basename;;3.4229865074158;0.13999998569489;0;0;0;0;0;3.4229865074158;0.13999998569489;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";__xpg_basename;;
0;Unknown module;unknown_function;;3.0562384128571;0.12500001490116;0;0;0;0;0;3.0562384128571;0.12500001490116;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";Unknown function;;
879;libc.so.6;strchrnul;;0.97799623012543;0.040000002831221;0;0;0;0;0;0.97799623012543;0.040000002831221;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";strchrnul;;
598;libc.so.6;__nptl_death_event;;0.85574662685394;0.034999996423721;0;0;0;0;0;0.85574662685394;0.034999996423721;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0";__nptl_death_event;;
552;libc.so.6;_IO_enable_locks;;0.85574662685394;0.034999996423721;0;0;0;0;0;0.85574662685394;0.034999996423721;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_enable_locks;;
378;libc.so.6;_IO_vfprintf;;0.85574662685394;0.034999996423721;0;0;0;0;0;0.85574662685394;0.034999996423721;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_vfprintf;;
791;libc.so.6;__libc_free;;0.73349714279175;0.029999999329448;0;0;0;0;0;0.73349714279175;0.029999999329448;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
555;libc.so.6;_IO_sputbackc;;0.73349714279175;0.029999999329448;0;0;0;0;0;0.73349714279175;0.029999999329448;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_sputbackc;;
790;libc.so.6;__libc_malloc;;0.61124765872955;0.025000002235174;0;0;0;0;0;0.61124765872955;0.025000002235174;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
218;libc.so.6;random_r;;0.48899811506271;0.02000000141561;0;0;0;0;0;0.48899811506271;0.02000000141561;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";random_r;;
1649;libc.so.6;__memcpy_chk;;0.36674857139587;0.014999999664724;0;0;0;0;0;0.36674857139587;0.014999999664724;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__memcpy_chk;;
792;libc.so.6;__libc_realloc;;0.36674857139587;0.014999999664724;0;0;0;0;0;0.36674857139587;0.014999999664724;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_realloc;;
388;libc.so.6;_IO_fgets;;0.36674857139587;0.014999999664724;0;0;0;0;0;0.36674857139587;0.014999999664724;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_fgets;;
545;libc.so.6;_IO_setb;;0.24449905753136;0.010000000707805;0;0;0;0;0;0.24449905753136;0.010000000707805;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_setb;;
397;libc.so.6;_IO_getline_info;;0.24449905753136;0.010000000707805;0;0;0;0;0;0.24449905753136;0.010000000707805;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_getline_info;;
350;libc.so.6;__isoc99_sscanf;;0.24449905753136;0.010000000707805;0;0;0;0;0;0.24449905753136;0.010000000707805;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";__isoc99_sscanf;;
573;libc.so.6;_IO_list_resetlock;;0.12224952876568;0.0050000003539026;0;0;0;0;0;0.12224952876568;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_list_resetlock;;
209;libc.so.6;rand;;0.12224952876568;0.0050000003539026;0;0;0;0;0;0.12224952876568;0.0050000003539026;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";rand;;
