Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;1.48;0;0;2710;0;98.52;0;0;0;13.55;0;0;
6b4e9423a5b1;_ALL;_ALL;1.48;0;0;2710;0;98.52;0;0;0;13.55;0;0;
6b4e9423a5b1;5312;_ALL;1.48;0;0;2710;0;98.52;0;0;0;13.55;0;0;
6b4e9423a5b1;5312;5312;1.48;0;0;2710;0;98.52;0;0;0;13.55;0;0;
