Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.51;0;0;8989;0;99.49;0;0;0;44.94;0;0;
6b4e9423a5b1;_ALL;_ALL;0.51;0;0;8989;0;99.49;0;0;0;44.94;0;0;
6b4e9423a5b1;5378;_ALL;0.51;0;0;8989;0;99.49;0;0;0;44.94;0;0;
6b4e9423a5b1;5378;5378;0.51;0;0;8989;0;99.49;0;0;0;44.94;0;0;
