function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
309;libc.so.6;strtof;;28.684782028198;1.2649993896484;1.2649993896484;1.2649993896484;1.2649993896484;0;0;28.684782028198;1.2649993896484;1.2649993896484;1.2649993896484;1.2649993896484;0;0;1;"0,0,0,0,0,0,0,100,0,0";strtof;;
379;libc.so.6;__vfscanf;;24.943281173706;1.0999991893768;1.0999991893768;1.0999991893768;1.0999991893768;0;0;24.943281173706;1.0999991893768;1.0999991893768;1.0999991893768;1.0999991893768;0;0;1;"0,0,0,0,0,0,100,0,0,0";__vfscanf;;
355;libc.so.6;parse_printf_format;;13.265297889709;0.58499985933304;0.58499985933304;0.58499985933304;0.58499985933304;0;0;13.265297889709;0.58499985933304;0.58499985933304;0.58499985933304;0.58499985933304;0;0;1;"0,0,0,0,0,0,100,0,0,0";parse_printf_format;;
330;libc.so.6;__xpg_basename;;10.430833816528;0.45999994874001;0.45999997854233;0.45999997854233;0.45999997854233;0;0;10.430833816528;0.45999994874001;0.45999997854233;0.45999997854233;0.45999997854233;0;0;1;"0,0,0,0,100,0,0,0,0,0";__xpg_basename;;
928;libc.so.6;__xpg_strerror_r;;4.4217667579651;0.19499999284744;0.19499997794628;0.19499997794628;0.19499997794628;0;0;4.4217667579651;0.19499999284744;0.19499997794628;0.19499997794628;0.19499997794628;0;0;1;"0,0,0,0,0,0,0,100,0,0";__xpg_strerror_r;;
378;libc.so.6;_IO_vfprintf;;3.7414948940277;0.16499999165535;0.16499999165535;0.16499999165535;0.16499999165535;0;0;3.7414948940277;0.16499999165535;0.16499999165535;0.16499999165535;0.16499999165535;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_vfprintf;;
397;libc.so.6;_IO_getline_info;;1.7006791830063;0.07499998062849;0.074999988079071;0.074999988079071;0.074999988079071;0;0;1.7006791830063;0.07499998062849;0.074999988079071;0.074999988079071;0.074999988079071;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_getline_info;;
555;libc.so.6;_IO_sputbackc;;1.4739221334457;0.064999990165234;0.064999997615814;0.064999997615814;0.064999997615814;0;0;1.4739221334457;0.064999990165234;0.064999997615814;0.064999997615814;0.064999997615814;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_sputbackc;;
552;libc.so.6;_IO_enable_locks;;1.3605433702469;0.059999987483025;0.059999991208315;0.059999991208315;0.059999991208315;0;0;1.3605433702469;0.059999987483025;0.059999991208315;0.059999991208315;0.059999991208315;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_enable_locks;;
0;Unknown module;unknown_function;;1.3605433702469;0.059999987483025;0.059999991208315;0.059999991208315;0.059999991208315;0;0;1.3605433702469;0.059999987483025;0.059999991208315;0.059999991208315;0.059999991208315;0;0;1;"0,0,0,0,0,0,0,0,0,100";Unknown function;;
598;libc.so.6;__nptl_death_event;;0.90702897310257;0.03999999165535;0.03999999165535;0.03999999165535;0.03999999165535;0;0;0.90702897310257;0.03999999165535;0.03999999165535;0.03999999165535;0.03999999165535;0;0;1;"0,0,0,0,0,100,0,0,0,0";__nptl_death_event;;
589;libc.so.6;__libc_alloca_cutoff;;0.90702897310257;0.03999999165535;0.03999999165535;0.03999999165535;0.03999999165535;0;0;0.90702897310257;0.03999999165535;0.03999999165535;0.03999999165535;0.03999999165535;0;0;1;"0,0,0,0,0,0,0,0,100,0";__libc_alloca_cutoff;;
545;libc.so.6;_IO_setb;;0.90702897310257;0.03999999165535;0.03999999165535;0.03999999165535;0.03999999165535;0;0;0.90702897310257;0.03999999165535;0.03999999165535;0.03999999165535;0.03999999165535;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_setb;;
1649;libc.so.6;__memcpy_chk;;0.79365026950836;0.034999992698431;0.034999992698431;0.034999992698431;0.034999992698431;0;0;0.79365026950836;0.034999992698431;0.034999992698431;0.034999992698431;0.034999992698431;0;0;1;"0,0,0,0,0,0,0,0,100,0";__memcpy_chk;;
573;libc.so.6;_IO_list_resetlock;;0.79365026950836;0.034999992698431;0.034999992698431;0.034999992698431;0.034999992698431;0;0;0.79365026950836;0.034999992698431;0.034999992698431;0.034999992698431;0.034999992698431;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_list_resetlock;;
388;libc.so.6;_IO_fgets;;0.79365026950836;0.034999992698431;0.034999992698431;0.034999992698431;0.034999992698431;0;0;0.79365026950836;0.034999992698431;0.034999992698431;0.034999992698431;0.034999992698431;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_fgets;;
350;libc.so.6;__isoc99_sscanf;;0.68027168512344;0.029999993741512;0.029999995604157;0.029999995604157;0.029999995604157;0;0;0.68027168512344;0.029999993741512;0.029999995604157;0.029999995604157;0.029999995604157;0;0;1;"0,0,0,0,0,0,0,100,0,0";__isoc99_sscanf;;
-1;libc.so.6;unknown_function;;0.68027168512344;0.029999993741512;0.029999995604157;0.029999995604157;0.029999995604157;0;0;0;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";Unknown function;;
1666;libc.so.6;__snprintf_chk;;0.56689310073853;0.024999996647239;0.024999996647239;0.024999996647239;0.024999996647239;0;0;0.56689310073853;0.024999996647239;0.024999996647239;0.024999996647239;0.024999996647239;0;0;1;"0,0,0,0,0,0,0,100,0,0";__snprintf_chk;;
879;libc.so.6;strchrnul;;0.34013584256172;0.014999996870756;0.014999997802079;0.014999997802079;0.014999997802079;0;0;0.34013584256172;0.014999996870756;0.014999997802079;0.014999997802079;0.014999997802079;0;0;1;"0,0,0,0,0,0,0,100,0,0";strchrnul;;
487;libc.so.6;vscanf;;0.34013584256172;0.014999996870756;0.014999997802079;0.014999997802079;0.014999997802079;0;0;0.34013584256172;0.014999996870756;0.014999997802079;0.014999997802079;0.014999997802079;0;0;1;"0,0,0,0,0,0,100,0,0,0";vscanf;;
218;libc.so.6;random_r;;0.34013584256172;0.014999996870756;0.014999997802079;0.014999997802079;0.014999997802079;0;0;0.34013584256172;0.014999996870756;0.014999997802079;0.014999997802079;0.014999997802079;0;0;1;"0,0,0,0,0,0,0,0,0,100";random_r;;
1258;libc.so.6;__read;;0.22675724327564;0.0099999979138374;0.0099999979138374;0.0099999979138374;0.0099999979138374;0;0;0.22675724327564;0.0099999979138374;0.0099999979138374;0.0099999979138374;0.0099999979138374;0;0;1;"0,0,0,0,0,0,100,0,0,0";__read;;
391;libc.so.6;_IO_fputs;;0.22675724327564;0.0099999979138374;0.0099999979138374;0.0099999979138374;0.0099999979138374;0;0;0.22675724327564;0.0099999979138374;0.0099999979138374;0.0099999979138374;0.0099999979138374;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_fputs;;
398;libc.so.6;_IO_getline;;0.11337862163782;0.0049999989569187;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;0.11337862163782;0.0049999989569187;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_getline;;
